37.77313,0,0,0,move left
38.10162,0,0,0,move up
38.73698,0,0,0,move down
39.35715,0,0,0,move up
40.04242,0,0,0,move left
41.01442,0,0,0,move right
41.94859,0,0,0,grasp
42.27555,0,0,0,move right
42.77909,0,0,0,move left
43.94293,0,0,0,left rotation
44.80732,0,0,0,left rotation
45.27803,0,0,0,move down
45.72437,0,0,0,move up
45.93822,0,0,0,grasp
46.27094,0,0,0,move down
46.73489,0,0,0,move up
47.10341,0,0,0,move right
47.48383,0,0,0,move right
48.08988,0,0,0,move up
53.55526,0,0,0,move left
54.26237,0,0,0,move right
54.58965,0,0,0,move up
54.76729,0,0,0,grasp
55.22373,0,0,0,move left
55.57778,0,0,0,grasp
55.78942,0,0,0,move right
56.53988,0,0,0,move right
56.96798,0,0,0,move up
57.45803,0,0,0,grasp
86.60056,0,0,0,move up
89.1415,0,0,0,move left
91.2618,0,0,0,move right
92.92382,0,0,0,move down
95.01377,0,0,0,left rotation
96.19573,0,0,0,right rotation
97.25117,0,0,0,left rotation
133.423,0,0,0,move left
134.2931,0,0,0,move left
134.518,0,0,0,move up
134.7589,0,0,0,grasp
135.0622,0,0,0,move right
135.9439,0,0,0,move right
136.2746,0,0,0,move up
5.071219,0,0,0,move left
5.654966,0,0,0,move left
6.035756,0,0,0,move right
6.20189,0,0,0,move right
6.455938,0,0,0,move right
6.947262,0,0,0,move up
7.241377,0,0,0,grasp
7.772583,0,0,0,move right
8.712435,0,0,0,move up
11.44842,0,0,0,move left
12.38284,0,0,0,move up
12.65743,0,0,0,grasp
13.10011,0,0,0,move left
13.38941,0,0,0,grasp
13.60013,0,0,0,move right
14.38411,0,0,0,move up
17.11223,0,0,0,move left
18.11733,0,0,0,move up
18.30449,0,0,0,grasp
18.51656,0,0,0,move right
19.17387,0,0,0,move up
21.53268,0,0,0,move left
22.43328,0,0,0,move left
22.58971,0,0,0,move up
22.83105,0,0,0,grasp
23.19403,0,0,0,move right
26.27039,0,0,0,move left
26.91971,0,0,0,move up
27.04679,0,0,0,grasp
27.56586,0,0,0,move left
27.75309,0,0,0,grasp
27.91964,0,0,0,move right
28.55666,0,0,0,move up
31.44979,0,0,0,move left
31.99644,0,0,0,move up
32.17606,0,0,0,move right
32.33002,0,0,0,grasp
32.63331,0,0,0,move right
32.84399,0,0,0,move up
33.29622,0,0,0,move left
33.5461,0,0,0,move down
34.40083,0,0,0,move left
34.68036,0,0,0,move up
34.84752,0,0,0,grasp
35.04099,0,0,0,move left
35.30045,0,0,0,move up
130.4493,0,0,0,move left
131.4207,0,0,0,move left
131.6265,0,0,0,move up
131.9314,0,0,0,grasp
132.4555,0,0,0,move up
132.6018,0,0,0,grasp
132.7833,0,0,0,move right
133.8022,0,0,0,move up
136.8015,0,0,0,move left
137.8667,0,0,0,move left
138.082,0,0,0,move up
138.2543,0,0,0,grasp
138.4408,0,0,0,move right
139.3442,0,0,0,move up
141.7641,0,0,0,move left
142.7732,0,0,0,move left
142.9994,0,0,0,move up
143.1526,0,0,0,grasp
144.0093,0,0,0,move right
144.5664,0,0,0,move right
147.5245,0,0,0,move left
148.4805,0,0,0,move right
148.8164,0,0,0,move up
149.0368,0,0,0,grasp
149.2238,0,0,0,move right
150.0942,0,0,0,move up
153.0126,0,0,0,move left
153.7807,0,0,0,move left
154.0062,0,0,0,move up
154.1799,0,0,0,grasp
154.3517,0,0,0,move up
155.7362,0,0,0,move down
156.8996,0,0,0,move right
157.0929,0,0,0,move left
157.2031,0,0,0,move up
157.3429,0,0,0,move right
157.4504,0,0,0,move left
157.5149,0,0,0,move down
157.585,0,0,0,move right
157.7009,0,0,0,move up
157.7651,0,0,0,move left
157.91,0,0,0,move down
157.9372,0,0,0,move right
158.0554,0,0,0,move up
158.0655,0,0,0,move left
158.1769,0,0,0,move right
159.8016,0,0,0,move left
160.7038,0,0,0,move up
160.926,0,0,0,grasp
161.1461,0,0,0,move right
162.143,0,0,0,move right
162.375,0,0,0,move up
165.5644,0,0,0,move left
166.3487,0,0,0,move right
166.7659,0,0,0,move up
166.9744,0,0,0,grasp
167.1355,0,0,0,move right
167.7564,0,0,0,move up
168.0701,0,0,0,move left
168.2739,0,0,0,move down
170.5826,0,0,0,move left
171.3058,0,0,0,move right
171.5713,0,0,0,move up
171.7432,0,0,0,grasp
171.8945,0,0,0,move right
172.7868,0,0,0,move up
175.4825,0,0,0,move left
176.5088,0,0,0,move up
